Landkreis	Bundesland	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	DoublingTime_Cases_Last_Week_Per_100000
Flensburg (Kreisfreie Stadt)	Schleswig-Holstein	91113	38542	91	423013	998	4.8	85.7	
Kiel (Kreisfreie Stadt)	Schleswig-Holstein	246243	97659	300	396596	1218	0.0	89.6	
Lübeck (Kreisfreie Stadt)	Schleswig-Holstein	216277	87583	153	404957	707	4.8	95.2	
Neumünster (Kreisfreie Stadt)	Schleswig-Holstein	79496	29968	112	376974	1408	0.0	84.0	
Dithmarschen (Kreis)	Schleswig-Holstein	133969	51165	120	381916	895	2.5	90.0	
Herzogtum Lauenburg (Kreis)	Schleswig-Holstein	200819	73255	187	364781	931	0.0	93.8	
Nordfriesland (Kreis)	Schleswig-Holstein	167560	68392	189	408164	1127	0.0	78.3	
Ostholstein (Kreis)	Schleswig-Holstein	202014	69738	135	345213	668	9.8	92.7	
Pinneberg (Kreis)	Schleswig-Holstein	318326	119436	583	375200	1831	5.7	94.3	
Plön (Kreis)	Schleswig-Holstein	129687	44322	76	341761	586	0.0	58.3	
Rendsburg-Eckernförde (Kreis)	Schleswig-Holstein	276053	106153	137	384538	496	4.7	65.1	
Schleswig-Flensburg (Kreis)	Schleswig-Holstein	203799	75149	156	368740	765	0.0	100.0	
Segeberg (Kreis)	Schleswig-Holstein	280400	116226	373	414500	1330	0.0	74.4	
Steinburg (Kreis)	Schleswig-Holstein	130843	48896	70	373699	534	9.3	72.1	
Stormarn (Kreis)	Schleswig-Holstein	245406	85632	441	348940	1797	6.7	90.0	
Saarbrücken (Landkreis)	Saarland	327284	146013	856	446135	2615	4.2	87.5	20.6
Merzig-Wadern (Landkreis)	Saarland	103426	51520	176	498133	1701	8.3	91.7	
Neunkirchen (Landkreis)	Saarland	130847	61881	231	472926	1765	0.0	74.4	
Saarlouis (Landkreis)	Saarland	193661	97808	291	505047	1502	3.6	74.5	
Saarpfalz-Kreis (Landkreis)	Saarland	140960	66743	219	473488	1553	2.5	99.4	34.3
St. Wendel (Landkreis)	Saarland	86170	43843	187	508796	2170	0.0	92.9	30.6
Berlin Reinickendorf (Bezirk)	Berlin	260576	90018	427	345457	1638	4.3	89.3	
Berlin Charlottenburg-Wilmersdorf (Bezirk)	Berlin	317229	107405	444	338572	1399	4.3	89.3	
Berlin Treptow-Köpenick (Bezirk)	Berlin	273188	96442	383	353024	1401	4.3	89.3	
Berlin Pankow (Bezirk)	Berlin	404795	155466	337	384061	832	4.3	89.3	
Berlin Neukölln (Bezirk)	Berlin	320204	121883	553	380641	1727	4.3	89.3	
Berlin Lichtenberg (Bezirk)	Berlin	293139	106888	382	364632	1303	4.3	89.3	
Berlin Marzahn-Hellersdorf (Bezirk)	Berlin	274853	96547	409	351267	1488	4.3	89.3	
Berlin Spandau (Bezirk)	Berlin	240542	88071	342	366135	1421	4.3	89.3	
Berlin Steglitz-Zehlendorf (Bezirk)	Berlin	292255	100085	564	342457	1929	4.3	89.3	
Berlin Mitte (Bezirk)	Berlin	377735	150525	418	398493	1106	4.3	89.3	
Berlin Friedrichshain-Kreuzberg (Bezirk)	Berlin	280671	117463	223	418507	794	4.3	89.3	
Berlin Tempelhof-Schöneberg (Bezirk)	Berlin	342285	124567	623	363927	1820	4.3	89.3	25.2
Brandenburg an der Havel (Kreisfreie Stadt)	Brandenburg	72461	27188	186	375208	2566	4.5	80.6	
Cottbus (Kreisfreie Stadt)	Brandenburg	98359	47940	333	487398	3385	2.3	91.9	18.4
Frankfurt (Oder) (Kreisfreie Stadt)	Brandenburg	56679	25717	218	453730	3846	0.0	91.7	12.8
Potsdam (Kreisfreie Stadt)	Brandenburg	183154	76025	284	415087	1550	10.0	80.0	
Barnim (Landkreis)	Brandenburg	188835	65726	372	348060	1969	3.3	96.7	
Dahme-Spreewald (Landkreis)	Brandenburg	175834	75516	432	429473	2456	5.9	73.5	
Elbe-Elster (Landkreis)	Brandenburg	100317	48383	417	482301	4156	0.0	66.7	
Havelland (Landkreis)	Brandenburg	165906	58982	320	355514	1928	4.0	76.0	
Märkisch-Oderland (Landkreis)	Brandenburg	197965	77155	419	389740	2116	5.0	75.0	
Oberhavel (Landkreis)	Brandenburg	215795	83852	456	388572	2113	13.2	73.7	
Oberspreewald-Lausitz (Landkreis)	Brandenburg	107558	50707	406	471438	3774	0.0	100.0	30.6
Oder-Spree (Landkreis)	Brandenburg	179245	78078	510	435593	2845	13.5	94.6	
Ostprignitz-Ruppin (Landkreis)	Brandenburg	98829	38454	239	389096	2418	2.3	90.7	
Potsdam-Mittelmark (Landkreis)	Brandenburg	219521	91470	316	416679	1439	4.5	95.5	20.5
Prignitz (Landkreis)	Brandenburg	75574	34203	251	452576	3321	0.0	91.7	39.3
Spree-Neiße (Landkreis)	Brandenburg	111955	53820	347	480728	3099	0.0	70.0	
Teltow-Fläming (Landkreis)	Brandenburg	172545	72690	376	421281	2179	0.0	66.7	
Uckermark (Landkreis)	Brandenburg	117336	45521	279	387954	2377	3.2	74.2	45.0
Rostock (Kreisfreie Stadt)	Mecklenburg-Vorpommern	208400	89120	179	427639	858	5.5	75.2	
