Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time	Cases_Last_Week_7Day_Percent	Days_Past
2020-01-02	1	0	1	0	0	0	0	0	0	0.0	0	0.0					-965
2020-01-03	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-964
2020-01-04	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-963
2020-01-05	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-962
2020-01-06	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-961
2020-01-07	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-960
2020-01-08	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-959
2020-01-09	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-958
2020-01-10	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-957
2020-01-11	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-956
2020-01-12	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-955
2020-01-13	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-954
2020-01-14	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-953
2020-01-15	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-952
2020-01-16	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-951
2020-01-17	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-950
2020-01-18	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-949
2020-01-19	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-948
2020-01-20	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-947
2020-01-21	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-946
2020-01-22	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-945
2020-01-23	2	0	1	0	1	0	0	0	0	0.0	0	0.0				0	-944
2020-01-24	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-943
2020-01-25	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-942
2020-01-26	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-941
2020-01-27	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-940
2020-01-28	4	0	2	0	3	0	0	0	0	0.0	0	0.0				0	-939
2020-01-29	6	0	2	0	5	0	0	0	0	0.0	0	0.0				0	-938
2020-01-30	6	0	0	0	4	0	0	0	0	0.0	0	0.0				0	-937
2020-01-31	10	0	4	0	8	0	0	0	0	0.0	0	0.0				0	-936
2020-02-01	11	0	1	0	9	0	0	0	0	0.0	0	0.0				0	-935
2020-02-02	11	0	0	0	9	0	0	0	0	0.0	0	0.0				0	-934
2020-02-03	12	0	1	0	10	0	0	0	0	0.0	0	0.0				0	-933
2020-02-04	16	0	4	0	12	0	0	0	0	0.0	0	0.0				300.0	-932
2020-02-05	18	0	2	0	12	0	0	0	0	0.0	0	0.0				140.0	-931
2020-02-06	19	0	1	0	13	0	0	0	0	0.0	0	0.0				225.0	-930
2020-02-07	20	0	1	0	10	0	0	0	0	0.0	0	0.0				25.0	-929
2020-02-08	20	0	0	0	9	0	0	0	0	0.0	0	0.0				0.0	-928
2020-02-09	20	0	0	0	9	0	0	0	0	0.0	0	0.0				0.0	-927
2020-02-10	21	0	1	0	9	0	0	0	0	0.0	0	0.0				-10.0	-926
2020-02-11	23	0	2	0	7	0	0	0	0	0.0	0	0.0				-41.7	-925
2020-02-12	24	0	1	0	6	0	0	0	0	0.0	0	0.0				-50.0	-924
2020-02-13	24	0	0	0	5	0	0	0	0	0.0	0	0.0				-61.5	-923
2020-02-14	24	0	0	0	4	0	0	0	0	0.0	0	0.0				-60.0	-922
2020-02-15	25	0	1	0	5	0	0	0	0	0.0	0	0.0				-44.4	-921
2020-02-16	25	0	0	0	5	0	0	0	0	0.0	0	0.0				-44.4	-920
2020-02-17	27	0	2	0	6	0	0	0	0	0.0	0	0.0				-33.3	-919
2020-02-18	28	0	1	0	5	0	0	0	0	0.0	0	0.0				-28.6	-918
2020-02-19	28	0	0	0	4	0	0	0	0	0.0	0	0.0				-33.3	-917
2020-02-20	30	1	2	1	6	1	0	0	0	0.012	0	0.01				20.0	-916
2020-02-21	30	1	0	0	6	1	0	0	0	0.0	0	0.01				50.0	-915
2020-02-22	30	1	0	0	5	1	0	0	0	0.0	0	0.01				0.0	-914
2020-02-23	30	1	0	0	5	1	0	0	0	0.0	0	0.01				0.0	-913
2020-02-24	31	1	1	0	4	1	0	0	0	0.0	0	0.01				-33.3	-912
2020-02-25	34	1	3	0	6	1	0	0	0	0.0	0	0.01				20.0	-911
2020-02-26	42	1	8	0	14	1	0	0	0	0.0	0	0.01				250.0	-910
2020-02-27	66	1	24	0	36	0	0	0	0	0.0	0	0.0				500.0	-909
2020-02-28	112	1	46	0	82	0	1	0	0	0.0	0	0.0				1266.7	-908
2020-02-29	135	1	23	0	105	0	1	0	0	0.0	1	0.0				2000.0	-907
2020-03-01	170	1	35	0	140	0	2	0	0	0.0	1	0.0				2700.0	-906
2020-03-02	213	1	43	0	182	0	2	0	0	0.0	2	0.0				4450.0	-905
2020-03-03	297	1	84	0	263	0	3	0	1	0.0	3	0.0				4283.3	-904
2020-03-04	454	3	157	2	412	2	5	0	1	0.024	4	0.02				2842.9	-903
2020-03-05	640	4	186	1	574	3	7	0	2	0.012	6	0.04				1494.4	-902
2020-03-06	827	8	187	4	715	7	9	0	2	0.048	8	0.08				772.0	-901
2020-03-07	969	12	142	4	834	11	11	0	1	0.048	10	0.13				694.3	-900
2020-03-08	1074	13	105	1	904	12	12	0	1	0.012	10	0.14				545.7	-899
2020-03-09	1421	20	347	7	1208	19	17	0	4	0.084	14	0.23				563.7	-898
2020-03-10	2016	24	595	4	1719	23	24	0	7	0.048	20	0.28				553.6	-897
2020-03-11	2773	34	757	10	2319	31	33	0	9	0.12	27	0.37				462.9	-896
2020-03-12	3764	46	991	12	3124	42	45	0	11	0.145	37	0.51				444.3	-895
2020-03-13	5228	62	1464	16	4401	54	62	0	17	0.193	53	0.65				515.5	-894
2020-03-14	6531	82	1303	20	5562	70	78	0	15	0.241	66	0.84				566.9	-893
2020-03-15	7511	97	980	15	6437	84	90	1	11	0.181	77	1.01				612.1	-892
2020-03-16	9548	132	2037	35	8127	112	115	1	24	0.422	97	1.35				572.8	-891
2020-03-17	12581	176	3033	44	10565	152	151	2	36	0.53	127	1.83				514.6	-890
2020-03-18	16179	239	3598	63	13406	205	194	2	43	0.759	161	2.47				478.1	-889
2020-03-19	20238	304	4059	65	16474	258	243	3	48	0.783	198	3.11				427.3	-888
2020-03-20	24294	400	4056	96	19066	338	292	4	48	1.156	229	4.07				333.2	-887
2020-03-21	27651	495	3357	95	21120	413	333	5	40	1.144	254	4.97				279.7	-886
2020-03-22	29916	575	2265	80	22405	478	360	6	27	0.964	269	5.76				248.1	-885
2020-03-23	33648	705	3732	130	24100	573	405	8	44	1.566	290	6.9				196.5	-884
2020-03-24	38527	872	4879	167	25946	696	464	10	58	2.012	312	8.38				145.6	-883
2020-03-25	44207	1090	5680	218	28028	851	532	13	68	2.626	337	10.25				109.1	-882
2020-03-26	50108	1357	5901	267	29870	1053	603	16	71	3.216	359	12.68				81.3	-881
2020-03-27	56089	1621	5981	264	31795	1221	675	19	72	3.18	382	14.71				66.8	-880
2020-03-28	60809	1868	4720	247	33158	1373	732	22	56	2.975	399	16.54				57.0	-879
2020-03-29	63887	2034	3078	166	33971	1459	769	24	37	2.0	409	17.57				51.6	-878
2020-03-30	68008	2300	4121	266	34360	1595	819	27	49	3.204	413	19.21				42.6	-877
2020-03-31	74068	2683	6060	383	35541	1811	892	32	72	4.613	428	21.81				37.0	-876
2020-04-01	80326	3059	6258	376	36119	1969	967	36	75	4.529	435	23.72				28.9	-875
2020-04-02	86876	3479	6550	420	36768	2122	1046	41	78	5.059	442	25.56				23.1	-874
2020-04-03	93067	3877	6191	398	36978	2256	1121	46	74	4.794	445	27.17				16.3	-873
2020-04-04	97407	4122	4340	245	36598	2254	1173	49	52	2.951	440	27.15				10.4	-872
2020-04-05	99943	4304	2536	182	36056	2270	1203	51	30	2.192	434	27.34				6.1	-871
2020-04-06	103602	4595	3659	291	35594	2295	1247	55	44	3.505	428	27.64				3.6	-870
2020-04-07	108789	4933	5187	338	34721	2250	1310	59	62	4.071	418	27.1				-2.3	-869
2020-04-08	114067	5277	5278	344	33741	2218	1373	63	63	4.144	406	26.72				-6.6	-868
2020-04-09	118976	5603	4909	326	32100	2124	1433	67	59	3.927	386	25.58				-12.7	-867
2020-04-10	122331	5812	3355	209	29264	1935	1473	70	40	2.517	352	23.31				-20.9	-866
2020-04-11	125215	6013	2884	201	27808	1891	1508	72	34	2.421	334	22.78				-24.0	-865
2020-04-12	127082	6183	1867	170	27139	1879	1530	74	22	2.048	326	22.63				-24.7	-864
2020-04-13	128680	6347	1598	164	25078	1752	1550	76	19	1.975	302	21.1				-29.5	-863
2020-04-14	131146	6566	2466	219	22357	1633	1579	79	29	2.638	269	19.67				-35.6	-862
2020-04-15	134471	6799	3325	233	20404	1522	1619	81	40	2.807	245	18.33				-39.5	-861
2020-04-16	137890	6990	3419	191	18914	1387	1660	84	41	2.301	227	16.71				-41.1	-860
2020-04-17	140936	7164	3046	174	18605	1352	1697	86	36	2.096	224	16.29				-36.4	-859
2020-04-18	143044	7287	2108	123	17829	1274	1723	87	25	1.482	214	15.35				-35.9	-858
2020-04-19	144421	7406	1377	119	17339	1223	1739	89	16	1.433	208	14.73				-36.1	-857
2020-04-20	146132	7556	1711	150	17452	1209	1760	91	20	1.807	210	14.56				-30.4	-856
2020-04-21	148317	7697	2185	141	17171	1131	1786	92	26	1.698	206	13.62				-23.2	-855
2020-04-22	150804	7822	2487	125	16333	1023	1816	94	29	1.506	196	12.32				-20.0	-854
2020-04-23	152897	7939	2093	117	15007	949	1841	95	25	1.409	180	11.43				-20.7	-853
2020-04-24	154801	8023	1904	84	13865	859	1864	96	22	1.012	167	10.35	8.2	60.8		-25.5	-852
2020-04-25	156072	8103	1271	80	13028	816	1879	97	15	0.964	156	9.83	7.9	60.6		-26.9	-851
2020-04-26	156776	8133	704	30	12355	727	1888	97	8	0.361	148	8.76	7.9	59.2		-28.7	-850
2020-04-27	157895	8208	1119	75	11763	652	1901	98	13	0.903	141	7.85	7.7	59.7		-32.6	-849
2020-04-28	159360	8291	1465	83	11043	594	1919	99	17	1.0	133	7.15	7.4	61.0		-35.7	-848
2020-04-29	160791	8349	1431	58	9987	527	1936	100	17	0.699	120	6.35	7.1	61.5		-38.9	-847
2020-04-30	162252	8420	1461	71	9355	481	1954	101	17	0.855	112	5.79	6.9	61.3		-37.7	-846
2020-05-01	163170	8468	918	48	8369	445	1965	102	11	0.578	100	5.36	6.5	61.2		-39.6	-845
2020-05-02	163790	8504	620	36	7718	401	1972	102	7	0.434	92	4.83	6.3	59.2		-40.8	-844
2020-05-03	164215	8520	425	16	7439	387	1978	102	5	0.193	89	4.66	6.2	59.7		-39.8	-843
2020-05-04	164944	8561	729	41	7049	353	1986	103	8	0.494	84	4.25	6.1	59.7		-40.1	-842
2020-05-05	166036	8606	1092	45	6676	315	1999	103	13	0.542	80	3.79	5.9	61.5		-39.5	-841
2020-05-06	167257	8646	1221	40	6466	297	2014	104	14	0.482	77	3.58	5.6	62.6		-35.3	-840
2020-05-07	168459	8695	1202	49	6207	275	2029	104	14	0.59	74	3.31	5.4	62.6		-33.7	-839
2020-05-08	169437	8740	978	45	6267	272	2040	105	11	0.542	75	3.28	5.1	62.8		-25.1	-838
2020-05-09	170115	8763	678	23	6325	259	2049	105	8	0.277	76	3.12	4.9	62.2		-18.0	-837
2020-05-10	170456	8777	341	14	6241	257	2053	105	4	0.169	75	3.1	5.0	60.6		-16.1	-836
2020-05-11	171143	8803	687	26	6199	242	2061	106	8	0.313	74	2.91	4.9	61.2		-12.1	-835
2020-05-12	171998	8837	855	34	5962	231	2071	106	10	0.41	71	2.78	4.5	62.7		-10.7	-834
2020-05-13	172911	8864	913	27	5654	218	2082	106	10	0.325	68	2.63	4.2	63.2		-12.6	-833
2020-05-14	173719	8884	808	20	5260	189	2092	107	9	0.241	63	2.28	4.0	62.8		-15.3	-832
2020-05-15	174447	8915	728	31	5010	175	2101	107	8	0.373	60	2.11	3.8	63.9		-20.1	-831
2020-05-16	174909	8935	462	20	4794	172	2106	107	5	0.241	57	2.07	3.6	63.0		-24.2	-830
2020-05-17	175225	8943	316	8	4769	166	2110	107	3	0.096	57	2.0	3.5	61.3		-23.6	-829
2020-05-18	175768	8966	543	23	4625	163	2117	107	6	0.277	55	1.96	3.5	61.3		-25.4	-828
2020-05-19	176498	8992	730	26	4500	155	2125	108	8	0.313	54	1.87	3.4	63.5		-24.5	-827
2020-05-20	177330	9015	832	23	4419	151	2136	108	10	0.277	53	1.82	3.1	63.9		-21.8	-826
2020-05-21	177749	9022	419	7	4030	138	2141	108	5	0.084	48	1.66	3.1	63.9		-23.4	-825
2020-05-22	178275	9038	526	16	3828	123	2147	108	6	0.193	46	1.48	3.0	62.1		-23.6	-824
2020-05-23	178612	9049	337	11	3703	114	2151	108	4	0.132	44	1.37	2.9	62.4		-22.8	-823
2020-05-24	178831	9054	219	5	3606	111	2154	109	2	0.06	43	1.34	2.8	61.2		-24.4	-822
2020-05-25	179242	9067	411	13	3474	101	2159	109	4	0.157	41	1.22	2.7	61.2		-24.9	-821
2020-05-26	179859	9082	617	15	3361	90	2166	109	7	0.181	40	1.08	2.5	63.1		-25.3	-820
2020-05-27	180513	9094	654	12	3183	79	2174	109	7	0.145	38	0.95	2.3	64.2		-28.0	-819
2020-05-28	181042	9104	529	10	3293	82	2180	109	6	0.12	39	0.99	2.2	64.5		-18.3	-818
2020-05-29	181487	9112	445	8	3212	74	2186	109	5	0.096	38	0.89	2.2	64.4		-16.1	-817
2020-05-30	181861	9116	374	4	3249	67	2190	109	4	0.048	39	0.81	2.2	64.0		-12.3	-816
2020-05-31	182039	9119	178	3	3208	65	2192	109	2	0.036	38	0.78	2.2	62.0		-11.0	-815
2020-06-01	182175	9124	136	5	2933	57	2194	109	1	0.06	35	0.69	2.2	61.7		-15.6	-814
2020-06-02	182482	9132	307	8	2623	50	2198	109	3	0.096	31	0.6	2.1	62.1		-22.0	-813
2020-06-03	182979	9142	497	10	2466	48	2204	110	5	0.12	29	0.58	2.0	64.3		-22.5	-812
2020-06-04	183507	9149	528	7	2465	45	2210	110	6	0.084	29	0.54	1.9	65.3		-25.1	-811
2020-06-05	183944	9154	437	5	2457	42	2215	110	5	0.06	29	0.51	1.8	65.6		-23.5	-810
2020-06-06	184229	9159	285	5	2368	43	2219	110	3	0.06	28	0.52	1.7	64.8		-27.1	-809
2020-06-07	184393	9163	164	4	2354	44	2221	110	1	0.048	28	0.53	1.8	62.9		-26.6	-808
2020-06-08	184689	9166	296	3	2514	42	2224	110	3	0.036	30	0.51	1.7	62.5		-14.3	-807
2020-06-09	185115	9167	426	1	2633	35	2229	110	5	0.012	31	0.42	1.6	65.0		0.4	-806
2020-06-10	185633	9177	518	10	2654	35	2236	110	6	0.12	31	0.42	1.5	65.4		7.6	-805
2020-06-11	185914	9178	281	1	2407	29	2239	110	3	0.012	28	0.35	1.4	65.3		-2.4	-804
2020-06-12	186267	9190	353	12	2323	36	2243	110	4	0.145	27	0.43	1.4	63.9		-5.5	-803
2020-06-13	186566	9191	299	1	2337	32	2247	110	3	0.012	28	0.39	1.4	63.9		-1.3	-802
2020-06-14	186738	9197	172	6	2345	34	2249	110	2	0.072	28	0.41	1.4	62.7		-0.4	-801
2020-06-15	186998	9201	260	4	2309	35	2252	110	3	0.048	27	0.42	1.3	62.7		-8.2	-800
2020-06-16	187517	9212	519	11	2402	45	2258	110	6	0.132	28	0.54	1.3	64.9		-8.8	-799
2020-06-17	188382	9219	865	7	2749	42	2269	111	10	0.084	33	0.51	1.3	65.8		3.6	-798
2020-06-18	189146	9222	764	3	3232	44	2278	111	9	0.036	38	0.53	1.2	66.0		34.3	-797
2020-06-19	190137	9231	991	9	3870	41	2290	111	11	0.108	46	0.49	1.2	66.3		66.6	-796
2020-06-20	190706	9235	569	4	4140	44	2297	111	6	0.048	49	0.53	1.1	65.4		77.2	-795
2020-06-21	190929	9238	223	3	4191	41	2299	111	2	0.036	50	0.49	1.1	63.6		78.7	-794
2020-06-22	191375	9239	446	1	4377	38	2305	111	5	0.012	52	0.46	1.1	63.3		89.6	-793
2020-06-23	191916	9243	541	4	4399	31	2311	111	6	0.048	52	0.37	1.1	65.3		83.1	-792
2020-06-24	192422	9245	506	2	4040	26	2317	111	6	0.024	48	0.31	1.1	65.5		47.0	-791
2020-06-25	192993	9250	571	5	3847	28	2324	111	6	0.06	46	0.34	1.1	65.5		19.0	-790
2020-06-26	193567	9257	574	7	3430	26	2331	111	6	0.084	41	0.31	1.1	66.1		-11.4	-789
2020-06-27	193892	9259	325	2	3186	24	2335	111	3	0.024	38	0.29	1.1	65.5		-23.0	-788
2020-06-28	194093	9259	201	0	3164	21	2337	111	2	0.0	38	0.25	1.0	64.0		-24.5	-787
2020-06-29	194508	9263	415	4	3133	24	2342	111	4	0.048	37	0.29	1.0	63.6		-28.4	-786
2020-06-30	194966	9264	458	1	3050	21	2348	111	5	0.012	36	0.25	1.0	65.3		-30.7	-785
2020-07-01	195449	9269	483	5	3027	24	2354	111	5	0.06	36	0.29	1.0	66.3		-25.1	-784
2020-07-02	195921	9273	472	4	2928	23	2359	111	5	0.048	35	0.28	1.0	66.6		-23.9	-783
2020-07-03	196348	9279	427	6	2781	22	2365	111	5	0.072	33	0.26	1.0	66.6		-18.9	-782
2020-07-04	196642	9281	294	2	2750	22	2368	111	3	0.024	33	0.26	1.0	65.1		-13.7	-781
2020-07-05	196786	9285	144	4	2693	26	2370	111	1	0.048	32	0.31	0.9	63.4		-14.9	-780
2020-07-06	197109	9291	323	6	2601	28	2374	111	3	0.072	31	0.34	0.9	63.5		-17.0	-779
2020-07-07	197504	9295	395	4	2538	31	2379	111	4	0.048	30	0.37	0.9	65.0		-16.8	-778
2020-07-08	197954	9301	450	6	2505	32	2384	112	5	0.072	30	0.39	0.9	65.7		-17.2	-777
2020-07-09	198379	9306	425	5	2458	33	2389	112	5	0.06	29	0.4	0.8	66.0		-16.1	-776
2020-07-10	198805	9309	426	3	2457	30	2394	112	5	0.036	29	0.36	0.8	66.3		-11.7	-775
2020-07-11	199082	9309	277	0	2440	28	2398	112	3	0.0	29	0.34	0.8	65.5		-11.3	-774
2020-07-12	199213	9310	131	1	2427	25	2399	112	1	0.012	29	0.3	0.8	64.0		-9.9	-773
2020-07-13	199543	9315	330	5	2434	24	2403	112	3	0.06	29	0.29	0.8	63.4		-6.4	-772
2020-07-14	200011	9317	468	2	2507	22	2409	112	5	0.024	30	0.26	0.8	65.5		-1.2	-771
2020-07-15	200553	9323	542	6	2599	22	2415	112	6	0.072	31	0.26	0.8	66.7		3.8	-770
2020-07-16	201109	9330	556	7	2730	24	2422	112	6	0.084	32	0.29	0.8	66.7		11.1	-769
2020-07-17	201632	9336	523	6	2827	27	2428	112	6	0.072	34	0.33	0.8	66.8		15.1	-768
2020-07-18	202074	9336	442	0	2992	27	2434	112	5	0.0	36	0.33	0.8	65.8		22.6	-767
2020-07-19	202253	9340	179	4	3040	30	2436	112	2	0.048	36	0.36	0.8	64.4		25.3	-766
2020-07-20	202709	9344	456	4	3166	29	2441	112	5	0.048	38	0.35	0.8	64.5		30.1	-765
2020-07-21	203234	9348	525	4	3223	31	2448	112	6	0.048	38	0.37	0.8	65.6		28.6	-764
2020-07-22	203932	9357	698	9	3379	34	2456	112	8	0.108	40	0.41	0.8	66.1		30.0	-763
2020-07-23	204624	9360	692	3	3515	30	2464	112	8	0.036	42	0.36	0.7	66.0		28.8	-762
2020-07-24	205434	9370	810	10	3802	34	2474	112	9	0.12	45	0.41	0.7	66.4		34.5	-761
2020-07-25	205977	9373	543	3	3903	37	2481	112	6	0.036	47	0.45	0.8	65.7		30.4	-760
2020-07-26	206189	9373	212	0	3936	33	2483	112	2	0.0	47	0.4	0.8	64.1		29.5	-759
2020-07-27	206718	9380	529	7	4009	36	2490	112	6	0.084	48	0.43	0.8	63.7		26.6	-758
2020-07-28	207473	9384	755	4	4239	36	2499	113	9	0.048	51	0.43	0.8	65.5		31.5	-757
2020-07-29	208385	9389	912	5	4453	32	2510	113	10	0.06	53	0.39	0.8	66.2		31.8	-756
2020-07-30	209250	9394	865	5	4626	34	2520	113	10	0.06	55	0.41	0.8	65.7		31.6	-755
2020-07-31	210165	9407	915	13	4731	37	2531	113	11	0.157	56	0.45	0.8	65.8		24.4	-754
2020-08-01	210727	9408	562	1	4750	35	2538	113	6	0.012	57	0.42	0.8	65.1		21.7	-753
2020-08-02	211032	9409	305	1	4843	36	2541	113	3	0.012	58	0.43	0.8	63.7		23.0	-752
2020-08-03	211830	9418	798	9	5112	38	2551	113	9	0.108	61	0.46	0.8	63.6		27.5	-751
2020-08-04	212780	9424	950	6	5307	40	2563	113	11	0.072	63	0.48	0.8	68.8		25.2	-750
2020-08-05	213892	9427	1112	3	5507	38	2576	113	13	0.036	66	0.46	0.8	69.9		23.7	-749
2020-08-06	215062	9434	1170	7	5812	40	2590	113	14	0.084	70	0.48	0.8	69.9		25.6	-748
2020-08-07	216067	9439	1005	5	5902	32	2602	113	12	0.06	71	0.39	0.7	70.1		24.8	-747
2020-08-08	216778	9441	711	2	6051	33	2611	113	8	0.024	72	0.4	0.7	69.6		27.4	-746
2020-08-09	217099	9443	321	2	6067	34	2615	113	3	0.024	73	0.41	0.8	68.2		25.3	-745
2020-08-10	218204	9445	1105	2	6374	27	2628	113	13	0.024	76	0.33	0.7	68.4		24.7	-744
2020-08-11	219397	9447	1193	2	6617	23	2642	113	14	0.024	79	0.28	0.8	70.6		24.7	-743
2020-08-12	220938	9457	1541	10	7046	30	2661	113	18	0.12	84	0.36	0.7	71.0		27.9	-742
2020-08-13	222429	9459	1491	2	7367	25	2679	113	17	0.024	88	0.3	0.7	71.4		26.8	-741
2020-08-14	223805	9465	1376	6	7738	26	2695	114	16	0.072	93	0.31	0.7	71.7		31.1	-740
2020-08-15	224561	9469	756	4	7783	28	2704	114	9	0.048	93	0.34	0.7	70.8		28.6	-739
2020-08-16	225054	9474	493	5	7955	31	2710	114	5	0.06	95	0.37	0.7	69.3		31.1	-738
2020-08-17	226603	9482	1549	8	8399	37	2729	114	18	0.096	101	0.45	0.7	69.2		31.8	-737
