	Covid_Fälle	Covid_Fälle_Proz	Covid_Tote	Covid_Tote_Proz	Bevölkerung	Bev_Proz	ICU	ICU_Proz
0-4	880392.0	3.0						
0-9	2799348.0	9.6	28.0	0.05	7589000.0	9.1	11.5	0.7
10-14	2103405.0	7.2						
10-19	4047141.0	13.8	25.0	0.044	7706000.0	9.3	11.5	0.7
15-19	1943736.0	6.6						
20-	6846489.0	23.4	53.0	0.094	15295000.0	18.4	23.0	1.4
20-24	2115568.0	7.2						
20-29	4366317.0	14.9	56.0	0.099	9801000.0	11.8	32.0	1.9
20-40	9400325.0	32.1	336.0	0.597	20447000.0	24.6	102.0	6.0
25-29	2250749.0	7.7						
30-	11212806.0	38.3	109.0	0.194	25096000.0	30.2	55.0	3.2
30-34	2541020.0	8.7						
30-39	5034008.0	17.2	280.0	0.497	10646000.0	12.8	70.0	4.1
35-39	2492988.0	8.5						
40-	16246814.0	55.5	389.0	0.691	35742000.0	43.1	125.0	7.4
40-44	2340252.0	8.0						
40-49	4330743.0	14.8	766.0	1.36	10426000.0	12.6	141.0	8.3
45-49	1990491.0	6.8						
5-9	1918956.0	6.6						
50-54	2205434.0	7.5						
50-59	4349894.0	14.9	2546.0	4.52	13474000.0	16.2	311.0	18.3
55-59	2144460.0	7.3						
60-64	1521784.0	5.2						
60-69	2369085.0	8.1	6100.0	10.83	10302000.0	12.4	458.0	27.0
65-69	847301.0	2.9						
70-74	615762.0	2.1						
70-79	1039337.0	3.6	11209.0	19.9	7686000.0	9.3	400.0	23.5
75-79	423575.0	1.4						
80+	900901.0	3.1	35317.0	62.7	5390000.0	6.5	263.0	15.5
80-84	454688.0	1.6						
80-89	725237.0	2.5	24016.0	42.637				
85-89	270549.0	0.9						
90+	175664.0	0.6	11301.0	20.063				
