Country	Date	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million
Austria	2022-10-19	8902600	5369885	20953	606969	2368
Belgium	2022-10-19	11515793	4594338	32810	402233	2872
Canada	2022-10-19	37894799	4332828	46020	116917	1241
Czechia	2022-10-19	10649800	4147736	41454	390349	3901
Denmark	2022-10-19	5822763	3370464	7271	581370	1254
Finland	2022-10-19	5521158	1323455	6242	239841	1131
France	2022-10-19	67022000	36636069	157227	546911	2347
Germany	2022-10-19	83149300	35005769	152100	422122	1834
Greece	2022-10-19	10768477	5081981	33426	473726	3115
Hungary	2022-10-19	9772756	2132490	47798	218296	4892
Iran	2022-10-19	83183741	7555355	144531	92363	1766
Italy	2022-10-19	60317546	23214073	178275	384139	2950
Japan	2022-10-19	126150000	21887525	46120	172984	364
Netherlands	2022-10-19	17424978	8598636	23394	499020	1357
Portugal	2022-10-19	10276617	5509424	25128	535844	2443
South Korea	2022-10-19	51709098	25219546	28922	488417	560
Spain	2022-10-19	46733038	13462593	114641	288131	2453
Sweden	2022-10-19	10333456	2604866	20438	255800	2007
Switzerland	2022-10-19	8570146	4164685	14041	489011	1648
Turkey	2022-10-19	83154997	16919638	101203	205535	1229
United Kingdom	2022-10-19	67545757	24021973	208678	361292	3138
United States	2022-10-19	328239523	97083662	1066584	296739	3260
