Date	Anzahl	Dose1	Dose2	Dose3	Dose4	Dose5	Dose6	Anzahl_roll_av	Dose1_roll_av	Dose2_roll_av	Dose3_roll_av	Dose4_roll_av	Dose5_roll_av	Dose6_roll_av
2020-12-27	24421	24421	0.0	0.0	0.0	0.0	0.0	24421.0	24421.0	0.0	0.0	0.0	0.0	0.0
2020-12-28	18007	18007	0.0	0.0	0.0	0.0	0.0	21214.0	21214.0	0.0	0.0	0.0	0.0	0.0
2020-12-29	50055	50055	0.0	0.0	0.0	0.0	0.0	30827.7	30827.7	0.0	0.0	0.0	0.0	0.0
2020-12-30	64066	64066	0.0	0.0	0.0	0.0	0.0	39137.2	39137.2	0.0	0.0	0.0	0.0	0.0
2020-12-31	49939	49939	0.0	0.0	0.0	0.0	0.0	41297.6	41297.6	0.0	0.0	0.0	0.0	0.0
2021-01-01	25672	25672	0.0	0.0	0.0	0.0	0.0	38693.3	38693.3	0.0	0.0	0.0	0.0	0.0
2021-01-02	47804	47804	0.0	0.0	0.0	0.0	0.0	39994.9	39994.9	0.0	0.0	0.0	0.0	0.0
2021-01-03	22573	22573	0.0	0.0	0.0	0.0	0.0	39730.9	39730.9	0.0	0.0	0.0	0.0	0.0
2021-01-04	46333	46333	0.0	0.0	0.0	0.0	0.0	43777.4	43777.4	0.0	0.0	0.0	0.0	0.0
2021-01-05	52479	52479	0.0	0.0	0.0	0.0	0.0	44123.7	44123.7	0.0	0.0	0.0	0.0	0.0
2021-01-06	63085	63085	0.0	0.0	0.0	0.0	0.0	43983.6	43983.6	0.0	0.0	0.0	0.0	0.0
2021-01-07	54908	54908	0.0	0.0	0.0	0.0	0.0	44693.4	44693.4	0.0	0.0	0.0	0.0	0.0
2021-01-08	62875	62875	0.0	0.0	0.0	0.0	0.0	50008.1	50008.1	0.0	0.0	0.0	0.0	0.0
2021-01-09	60604	60604	0.0	0.0	0.0	0.0	0.0	51836.7	51836.7	0.0	0.0	0.0	0.0	0.0
2021-01-10	35848	35848	0.0	0.0	0.0	0.0	0.0	53733.1	53733.1	0.0	0.0	0.0	0.0	0.0
2021-01-11	68778	68778	0.0	0.0	0.0	0.0	0.0	56939.6	56939.6	0.0	0.0	0.0	0.0	0.0
2021-01-12	79322	79322	0.0	0.0	0.0	0.0	0.0	60774.3	60774.3	0.0	0.0	0.0	0.0	0.0
2021-01-13	112436	112436	0.0	0.0	0.0	0.0	0.0	67824.4	67824.4	0.0	0.0	0.0	0.0	0.0
2021-01-14	84125	84125	0.0	0.0	0.0	0.0	0.0	71998.3	71998.3	0.0	0.0	0.0	0.0	0.0
2021-01-15	91866	90883	983.0	0.0	0.0	0.0	0.0	76139.9	75999.4	140.4	0.0	0.0	0.0	0.0
2021-01-16	58100	56856	1244.0	0.0	0.0	0.0	0.0	75782.1	75464.0	318.1	0.0	0.0	0.0	0.0
2021-01-17	47834	30757	17077.0	0.0	0.0	0.0	0.0	77494.4	74736.7	2757.7	0.0	0.0	0.0	0.0
2021-01-18	83314	67554	15760.0	0.0	0.0	0.0	0.0	79571.0	74561.9	5009.1	0.0	0.0	0.0	0.0
2021-01-19	119876	83805	36071.0	0.0	0.0	0.0	0.0	85364.4	75202.3	10162.1	0.0	0.0	0.0	0.0
2021-01-20	132950	79003	53947.0	0.0	0.0	0.0	0.0	88295.0	70426.1	17868.9	0.0	0.0	0.0	0.0
2021-01-21	105638	64534	41104.0	0.0	0.0	0.0	0.0	91368.3	67627.4	23740.9	0.0	0.0	0.0	0.0
2021-01-22	102408	68781	33627.0	0.0	0.0	0.0	0.0	92874.3	64470.0	28404.3	0.0	0.0	0.0	0.0
2021-01-23	87091	40772	46319.0	0.0	0.0	0.0	0.0	97015.9	62172.3	34843.6	0.0	0.0	0.0	0.0
2021-01-24	47836	25706	22130.0	0.0	0.0	0.0	0.0	97016.1	61450.7	35565.4	0.0	0.0	0.0	0.0
2021-01-25	91049	52344	38705.0	0.0	0.0	0.0	0.0	98121.1	59277.9	38843.3	0.0	0.0	0.0	0.0
2021-01-26	98706	51358	47348.0	0.0	0.0	0.0	0.0	95096.9	54642.6	40454.3	0.0	0.0	0.0	0.0
2021-01-27	109639	51184	58455.0	0.0	0.0	0.0	0.0	91766.7	50668.4	41098.3	0.0	0.0	0.0	0.0
2021-01-28	92744	46999	45745.0	0.0	0.0	0.0	0.0	89924.7	48163.4	41761.3	0.0	0.0	0.0	0.0
2021-01-29	107828	49885	57943.0	0.0	0.0	0.0	0.0	90699.0	45464.0	45235.0	0.0	0.0	0.0	0.0
2021-01-30	88164	34670	53494.0	0.0	0.0	0.0	0.0	90852.3	44592.3	46260.0	0.0	0.0	0.0	0.0
2021-01-31	57243	25808	31435.0	0.0	0.0	0.0	0.0	92196.1	44606.9	47589.3	0.0	0.0	0.0	0.0
2021-02-01	120501	58397	62104.0	0.0	0.0	0.0	0.0	96403.6	45471.6	50932.0	0.0	0.0	0.0	0.0
2021-02-02	132887	65524	67363.0	0.0	0.0	0.0	0.0	101286.6	47495.3	53791.3	0.0	0.0	0.0	0.0
2021-02-03	163122	64631	98491.0	0.0	0.0	0.0	0.0	108927.0	49416.3	59510.7	0.0	0.0	0.0	0.0
2021-02-04	134661	62149	72512.0	0.0	0.0	0.0	0.0	114915.1	51580.6	63334.6	0.0	0.0	0.0	0.0
2021-02-05	147586	69417	78169.0	0.0	0.0	0.0	0.0	120594.9	54370.9	66224.0	0.0	0.0	0.0	0.0
2021-02-06	94199	45606	48593.0	0.0	0.0	0.0	0.0	121457.0	55933.1	65523.9	0.0	0.0	0.0	0.0
2021-02-07	53581	28305	25276.0	0.0	0.0	0.0	0.0	120933.9	56289.9	64644.0	0.0	0.0	0.0	0.0
2021-02-08	109515	53022	56493.0	0.0	0.0	0.0	0.0	119364.4	55522.0	63842.4	0.0	0.0	0.0	0.0
2021-02-09	134756	60247	74509.0	0.0	0.0	0.0	0.0	119631.4	54768.1	64863.3	0.0	0.0	0.0	0.0
2021-02-10	155551	77792	77759.0	0.0	0.0	0.0	0.0	118549.9	56648.3	61901.6	0.0	0.0	0.0	0.0
2021-02-11	144753	75688	69065.0	0.0	0.0	0.0	0.0	119991.6	58582.4	61409.1	0.0	0.0	0.0	0.0
2021-02-12	156307	80300	76007.0	0.0	0.0	0.0	0.0	121237.4	60137.1	61100.3	0.0	0.0	0.0	0.0
2021-02-13	107886	62056	45830.0	0.0	0.0	0.0	0.0	123192.7	62487.1	60705.6	0.0	0.0	0.0	0.0
2021-02-14	65475	39637	25838.0	0.0	0.0	0.0	0.0	124891.9	64106.0	60785.9	0.0	0.0	0.0	0.0
2021-02-15	125951	70172	55779.0	0.0	0.0	0.0	0.0	127239.9	66556.0	60683.9	0.0	0.0	0.0	0.0
